Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Customer Status,Churn Category,Churn Reason,Prediction Probability,Predicted Label,Avatar,Tech Support
0018-NYROU,Female,58,Yes,0,Antelope,95843.0,38.715498,-121.363411,0,5,,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0.0,Stayed,Client currently in the company,.,0.6097,Churned,https://picsum.photos/150/150?random=873,
0019-EFAEP,Female,32,No,0,La Mesa,91942.0,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0.0,Stayed,Client currently in the company,.,0.9404,Stayed,https://picsum.photos/150/150?random=350,
0019-GFNTW,Female,39,No,0,Los Olivos,93441.0,34.70434,-120.02609,0,56,,No,0.0,No,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0.0,Stayed,Client currently in the company,.,0.9775,Stayed,https://picsum.photos/150/150?random=703,
0020-INWCK,Female,58,Yes,2,Woodlake,93286.0,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0.0,Stayed,Client currently in the company,.,0.992,Stayed,https://picsum.photos/150/150?random=476,
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956.0,38.060264,-122.830646,0,34,,No,0.0,No,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0.0,Stayed,Client currently in the company,.,0.952,Stayed,https://picsum.photos/150/150?random=139,
0021-IKXGC,Female,72,No,0,San Marcos,92078.0,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0.0,Joined,Client currently in the company,.,0.6588,Stayed,https://picsum.photos/150/150?random=230,
0022-TCJCI,Male,79,No,0,Daly City,94015.0,37.680844,-122.48131,0,45,,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0.0,Churned,Dissatisfaction,Limited range of services,0.898,Stayed,https://picsum.photos/150/150?random=975,
0023-HGHWL,Male,67,No,0,Morgan Hill,95037.0,37.161544,-121.649371,0,1,,No,0.0,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0.0,Churned,Competitor,Competitor made better offer,0.845,Churned,https://picsum.photos/150/150?random=126,
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601.0,37.375816,-119.739935,0,50,,Yes,31.43,Yes,No,,0.0,No,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0.0,Stayed,Client currently in the company,.,0.9381,Stayed,https://picsum.photos/150/150?random=705,
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140.0,39.227434,-120.091806,1,13,,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0.0,Churned,Other,Don't know,0.8229,Churned,https://picsum.photos/150/150?random=144,
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201.0,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0.0,Stayed,Client currently in the company,.,0.7383,Stayed,https://picsum.photos/150/150?random=617,
0030-FNXPP,Female,22,No,0,Keeler,93530.0,36.560498,-117.962461,0,3,,Yes,3.12,No,No,,0.0,No,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0.0,Joined,Client currently in the company,.,0.8914,Stayed,https://picsum.photos/150/150?random=178,
0031-PVLZI,Female,34,Yes,0,Korbel,95550.0,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,,0.0,No,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0.0,Churned,Price,Long distance charges,0.8223,Stayed,https://picsum.photos/150/150?random=453,
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060.0,33.309852,-116.823091,1,1,,No,0.0,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0.0,Churned,Attitude,Attitude of service provider,0.5273,Churned,https://picsum.photos/150/150?random=421,
0036-IHMOT,Female,37,Yes,3,Parlier,93648.0,36.622237,-119.521126,10,55,,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20.0,Stayed,Client currently in the company,.,0.9869,Stayed,https://picsum.photos/150/150?random=332,
0040-HALCW,Male,42,Yes,3,Modesto,95358.0,37.612612,-121.108568,3,54,,Yes,19.7,No,No,,0.0,No,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0.0,0.0,Stayed,Client currently in the company,.,0.993,Stayed,https://picsum.photos/150/150?random=686,
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442.0,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,,0.0,No,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0.0,Stayed,Client currently in the company,.,0.9544,Stayed,https://picsum.photos/150/150?random=447,
0042-RLHYP,Female,47,Yes,3,Eureka,95503.0,40.737431,-124.108897,5,69,,Yes,38.39,No,No,,0.0,No,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0.0,Stayed,Client currently in the company,.,0.9917,Stayed,https://picsum.photos/150/150?random=143,
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038.0,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0.0,Stayed,Client currently in the company,.,0.9263,Stayed,https://picsum.photos/150/150?random=313,
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058.0,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,,0.0,No,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0.0,Stayed,Client currently in the company,.,0.9581,Stayed,https://picsum.photos/150/150?random=168,
0052-DCKON,Male,28,Yes,0,Los Angeles,90063.0,34.044271,-118.185237,9,66,,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0.0,Stayed,Client currently in the company,.,0.9843,Stayed,https://picsum.photos/150/150?random=123,
0052-YNYOT,Female,28,No,0,Calexico,92231.0,32.690654,-115.431225,0,67,,Yes,23.12,No,No,,0.0,No,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0.0,Stayed,Client currently in the company,.,0.982,Stayed,https://picsum.photos/150/150?random=476,
0056-EPFBG,Male,33,Yes,1,Redding,96003.0,40.677649,-122.29467,4,20,,No,0.0,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0.0,Stayed,Client currently in the company,.,0.9898,Stayed,https://picsum.photos/150/150?random=845,
0057-QBUQH,Female,31,No,3,San Martin,95046.0,37.084697,-121.606417,0,43,,Yes,30.64,Yes,No,,0.0,No,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0.0,Stayed,Client currently in the company,.,0.9869,Stayed,https://picsum.photos/150/150?random=883,
0058-EVZWM,Female,37,Yes,0,Stockton,95209.0,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0.0,Stayed,Client currently in the company,.,0.807,Stayed,https://picsum.photos/150/150?random=346,
0060-FUALY,Female,60,Yes,0,Los Angeles,90003.0,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0.0,Stayed,Client currently in the company,.,0.8259,Stayed,https://picsum.photos/150/150?random=62,
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255.0,33.97803,-118.217141,3,12,,Yes,19.28,No,No,,0.0,No,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0.0,Stayed,Client currently in the company,.,0.9854,Stayed,https://picsum.photos/150/150?random=157,
0064-YIJGF,Male,60,Yes,3,Yermo,92398.0,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0.0,Stayed,Client currently in the company,.,0.9715,Stayed,https://picsum.photos/150/150?random=925,
0067-DKWBL,Male,69,No,0,San Diego,92129.0,32.961064,-117.134917,0,2,,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,Churned,Competitor,Competitor made better offer,0.9332,Churned,https://picsum.photos/150/150?random=971,
0068-FIGTF,Female,20,No,0,Fremont,94539.0,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0.0,Stayed,Client currently in the company,.,0.9152,Stayed,https://picsum.photos/150/150?random=254,
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405.0,38.439696,-122.668817,1,25,,Yes,23.69,Yes,No,,0.0,No,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0.0,Stayed,Client currently in the company,.,0.9853,Stayed,https://picsum.photos/150/150?random=454,
0074-HDKDG,Male,46,Yes,0,San Jose,95126.0,37.327069,-121.916819,5,25,,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0.0,Stayed,Client currently in the company,.,0.9523,Stayed,https://picsum.photos/150/150?random=901,
0076-LVEPS,Male,57,No,1,Tujunga,91042.0,34.296574,-118.244839,0,29,,No,0.0,No,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0.0,Stayed,Client currently in the company,.,0.9117,Stayed,https://picsum.photos/150/150?random=204,
0078-XZMHT,Male,19,Yes,0,Visalia,93291.0,36.391777,-119.372842,5,72,,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0.0,Stayed,Client currently in the company,.,0.9804,Stayed,https://picsum.photos/150/150?random=225,
0080-EMYVY,Female,64,No,0,Lodi,95240.0,38.123544,-121.159078,0,14,,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0.0,Stayed,Client currently in the company,.,0.9376,Stayed,https://picsum.photos/150/150?random=181,
0080-OROZO,Female,38,No,0,El Portal,95318.0,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0.0,Stayed,Client currently in the company,.,0.7883,Stayed,https://picsum.photos/150/150?random=942,
0082-LDZUE,Male,54,No,0,Calistoga,94515.0,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0.0,Joined,Client currently in the company,.,0.5219,Stayed,https://picsum.photos/150/150?random=16,
0082-OQIQY,Male,50,No,0,Farmington,95230.0,37.956963,-120.863055,0,29,,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20.0,Stayed,Client currently in the company,.,0.5389,Stayed,https://picsum.photos/150/150?random=241,
0083-PIVIK,Male,25,No,0,Tulelake,96134.0,41.813521,-121.492666,0,64,,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40.0,Stayed,Client currently in the company,.,0.9598,Stayed,https://picsum.photos/150/150?random=1000,
0089-IIQKO,Female,35,Yes,3,Coleville,96107.0,38.42528,-119.475741,1,39,,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0.0,Stayed,Client currently in the company,.,0.8124,Stayed,https://picsum.photos/150/150?random=972,
0093-EXYQL,Female,72,No,0,Ojai,93023.0,34.581308,-118.931948,0,40,,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0.0,Stayed,Client currently in the company,.,0.9549,Stayed,https://picsum.photos/150/150?random=664,
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241.0,33.832799,-116.250973,0,40,,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0.0,Churned,Competitor,Competitor had better devices,0.6274,Stayed,https://picsum.photos/150/150?random=537,
0094-OIFMO,Female,78,No,1,North Hollywood,91605.0,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120.0,Churned,Dissatisfaction,Product dissatisfaction,0.7533,Churned,https://picsum.photos/150/150?random=975,
0096-BXERS,Female,30,Yes,0,Inverness,94937.0,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0.0,Stayed,Client currently in the company,.,0.9036,Stayed,https://picsum.photos/150/150?random=465,
0096-FCPUF,Male,58,No,0,Santa Rosa,95404.0,38.526941,-122.709096,0,30,,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0.0,Stayed,Client currently in the company,.,0.7484,Stayed,https://picsum.photos/150/150?random=803,
0098-BOWSO,Male,26,No,0,San Jose,95131.0,37.387027,-121.897775,0,27,,Yes,20.66,No,No,,0.0,No,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0.0,Stayed,Client currently in the company,.,0.8505,Stayed,https://picsum.photos/150/150?random=541,
0100-DUVFC,Male,66,Yes,0,Wilmington,90744.0,33.782068,-118.262263,3,70,,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0.0,Stayed,Client currently in the company,.,0.8493,Stayed,https://picsum.photos/150/150?random=26,
0103-CSITQ,Female,20,Yes,0,Modesto,95357.0,37.670526,-120.877572,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0.0,Stayed,Client currently in the company,.,0.953,Stayed,https://picsum.photos/150/150?random=835,
0104-PPXDV,Male,61,Yes,0,San Diego,92113.0,32.697098,-117.116587,10,58,,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0.0,Stayed,Client currently in the company,.,0.9864,Stayed,https://picsum.photos/150/150?random=510,
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275.0,33.753146,-118.367459,0,16,,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0.0,Stayed,Client currently in the company,.,0.5139,Stayed,https://picsum.photos/150/150?random=723,
0106-UGRDO,Female,55,Yes,0,Kenwood,95452.0,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0.0,Stayed,Client currently in the company,.,0.9622,Stayed,https://picsum.photos/150/150?random=388,
0107-WESLM,Male,32,No,0,West Point,95255.0,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,,0.0,No,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0.0,Churned,Attitude,Attitude of support person,0.5062,Churned,https://picsum.photos/150/150?random=525,
0107-YHINA,Male,59,No,0,Los Angeles,90062.0,34.003553,-118.308933,0,1,,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0.0,Churned,Competitor,Competitor had better devices,0.8613,Churned,https://picsum.photos/150/150?random=395,
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256.0,34.097863,-116.594561,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0.0,Stayed,Client currently in the company,.,0.9901,Stayed,https://picsum.photos/150/150?random=484,
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266.0,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0.0,Stayed,Client currently in the company,.,0.9767,Stayed,https://picsum.photos/150/150?random=514,
0112-QWPNC,Male,61,Yes,0,Valyermo,93563.0,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0.0,Churned,Competitor,Competitor offered higher download speeds,0.7389,Stayed,https://picsum.photos/150/150?random=70,
0114-IGABW,Female,40,Yes,0,Cambria,93428.0,35.591387,-121.032256,2,71,Offer A,No,0.0,No,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0.0,Stayed,Client currently in the company,.,0.9785,Stayed,https://picsum.photos/150/150?random=503,
0114-PEGZZ,Female,39,No,0,Round Mountain,96084.0,40.923558,-122.059933,0,33,,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0.0,Stayed,Client currently in the company,.,0.5668,Stayed,https://picsum.photos/150/150?random=151,
0114-RSRRW,Female,21,Yes,0,Klamath,95548.0,41.572813,-124.035011,9,10,Offer D,Yes,49.6,No,No,,0.0,No,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0.0,Stayed,Client currently in the company,.,0.9285,Stayed,https://picsum.photos/150/150?random=392,
0115-TFERT,Male,24,Yes,0,Fresno,93650.0,36.841655,-119.797113,1,21,,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120.0,Churned,Attitude,Attitude of service provider,0.7753,Churned,https://picsum.photos/150/150?random=14,
0117-LFRMW,Male,52,Yes,1,Angwin,94508.0,38.542448,-122.419923,1,37,,No,0.0,No,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0.0,Churned,Competitor,Competitor offered more data,0.8463,Stayed,https://picsum.photos/150/150?random=142,
0118-JPNOY,Female,71,No,0,Le Grand,95333.0,37.249377,-120.249581,0,26,,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0.0,0.0,Stayed,Client currently in the company,.,0.6829,Churned,https://picsum.photos/150/150?random=130,
0121-SNYRK,Male,45,No,0,Redway,95560.0,40.142256,-123.852927,0,50,Offer B,No,0.0,No,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,0.0,Stayed,Client currently in the company,.,0.9422,Stayed,https://picsum.photos/150/150?random=439,
0122-OAHPZ,Female,29,No,0,San Diego,92122.0,32.85723,-117.209774,0,7,,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0.0,Churned,Competitor,Competitor made better offer,0.9151,Churned,https://picsum.photos/150/150?random=898,
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755.0,34.049172,-118.115022,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0.0,0.0,Stayed,Client currently in the company,.,0.9137,Stayed,https://picsum.photos/150/150?random=319,
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305.0,37.818589,-120.256995,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0.0,0.0,Churned,Attitude,Attitude of service provider,0.6114,Churned,https://picsum.photos/150/150?random=736,
